Date,Rented Bike Count,Hour,Temperature(øC),Humidity(%),Visibility (10m),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
01/12/2017,254,0,-5.2,37,2000,0,0,Winter,No Holiday,Yes
01/12/2017,204,1,-5.5,38,2000,0,0,Winter,No Holiday,Yes
01/12/2017,173,2,-6,39,2000,0,0,Winter,No Holiday,Yes
01/12/2017,107,3,-6.2,40,2000,0,0,Winter,No Holiday,Yes
01/12/2017,78,4,-6,36,2000,0,0,Winter,No Holiday,Yes
01/12/2017,100,5,-6.4,37,2000,0,0,Winter,No Holiday,Yes
01/12/2017,181,6,-6.6,35,2000,0,0,Winter,No Holiday,Yes
01/12/2017,460,7,-7.4,38,2000,0,0,Winter,No Holiday,Yes
01/12/2017,930,8,-7.6,37,2000,0,0,Winter,No Holiday,Yes
01/12/2017,490,9,-6.5,27,1928,0,0,Winter,No Holiday,Yes
01/12/2017,339,10,-3.5,24,1996,0,0,Winter,No Holiday,Yes
01/12/2017,360,11,-0.5,21,1936,0,0,Winter,No Holiday,Yes
01/12/2017,449,12,1.7,23,2000,0,0,Winter,No Holiday,Yes
01/12/2017,451,13,2.4,25,2000,0,0,Winter,No Holiday,Yes
01/12/2017,447,14,3,26,2000,0,0,Winter,No Holiday,Yes
01/12/2017,463,15,2.1,36,2000,0,0,Winter,No Holiday,Yes
01/12/2017,484,16,1.2,54,793,0,0,Winter,No Holiday,Yes
01/12/2017,555,17,0.8,58,2000,0,0,Winter,No Holiday,Yes
01/12/2017,862,18,0.6,66,2000,0,0,Winter,No Holiday,Yes
01/12/2017,600,19,0,77,2000,0,0,Winter,No Holiday,Yes
01/12/2017,426,20,-0.3,79,1913,0,0,Winter,No Holiday,Yes
01/12/2017,405,21,-0.8,81,1687,0,0,Winter,No Holiday,Yes
01/12/2017,398,22,-0.9,83,1380,0,0,Winter,No Holiday,Yes
01/12/2017,323,23,-1.3,84,1265,0,0,Winter,No Holiday,Yes
02/12/2017,328,0,-1.8,87,994,0,0,Winter,No Holiday,Yes
02/12/2017,308,1,-2.2,86,990,0,0,Winter,No Holiday,Yes
02/12/2017,262,2,-2.9,86,1256,0,0,Winter,No Holiday,Yes
02/12/2017,167,3,-3.5,81,1221,0,0,Winter,No Holiday,Yes
02/12/2017,89,4,-3.8,79,1167,0,0,Winter,No Holiday,Yes
02/12/2017,79,5,-4,79,1202,0,0,Winter,No Holiday,Yes
02/12/2017,70,6,-4.3,82,1178,0,0,Winter,No Holiday,Yes
02/12/2017,146,7,-4.4,81,1276,0,0,Winter,No Holiday,Yes
02/12/2017,219,8,-4.2,79,1436,0,0,Winter,No Holiday,Yes
02/12/2017,328,9,-2.9,68,1487,0,0,Winter,No Holiday,Yes
02/12/2017,334,10,-0.4,57,1309,0,0,Winter,No Holiday,Yes
02/12/2017,388,11,1.9,49,1406,0,0,Winter,No Holiday,Yes
02/12/2017,479,12,4.3,41,1666,0,0,Winter,No Holiday,Yes
02/12/2017,606,13,6,36,1780,0,0,Winter,No Holiday,Yes
02/12/2017,611,14,7.3,35,1955,0,0,Winter,No Holiday,Yes
02/12/2017,589,15,7.6,41,1953,0,0,Winter,No Holiday,Yes
02/12/2017,618,16,6.4,48,1945,0,0,Winter,No Holiday,Yes
02/12/2017,572,17,6,51,1891,0,0,Winter,No Holiday,Yes
02/12/2017,489,18,5.5,53,1697,0,0,Winter,No Holiday,Yes
02/12/2017,385,19,5,52,1666,0,0,Winter,No Holiday,Yes
02/12/2017,359,20,4.6,51,1585,0,0,Winter,No Holiday,Yes
02/12/2017,377,21,4.1,55,1448,0,0,Winter,No Holiday,Yes
02/12/2017,354,22,3.5,54,1446,0,0,Winter,No Holiday,Yes
02/12/2017,366,23,4,56,1352,0,0,Winter,No Holiday,Yes
03/12/2017,342,0,4,58,1296,0,0,Winter,No Holiday,Yes
03/12/2017,227,1,3.9,69,485,0,0,Winter,No Holiday,Yes
03/12/2017,228,2,3.3,79,830,0,0,Winter,No Holiday,Yes
03/12/2017,117,3,3.4,71,1011,0.5,0,Winter,No Holiday,Yes
03/12/2017,76,4,3.5,73,1060,0,0,Winter,No Holiday,Yes
03/12/2017,32,5,3.9,75,914,0,0,Winter,No Holiday,Yes
03/12/2017,13,6,3.4,86,278,1,0,Winter,No Holiday,Yes
03/12/2017,22,7,3.1,91,129,0,0,Winter,No Holiday,Yes
03/12/2017,85,8,3.2,92,244,0,0,Winter,No Holiday,Yes
03/12/2017,152,9,3.5,91,231,2.5,0,Winter,No Holiday,Yes
03/12/2017,200,10,4.4,89,257,0,0,Winter,No Holiday,Yes
03/12/2017,273,11,5.1,87,321,0,0,Winter,No Holiday,Yes
03/12/2017,333,12,5.8,85,349,0,0,Winter,No Holiday,Yes
03/12/2017,495,13,6.8,81,390,0,0,Winter,No Holiday,Yes
03/12/2017,563,14,7.6,76,422,0,0,Winter,No Holiday,Yes
03/12/2017,621,15,8,73,433,0,0,Winter,No Holiday,Yes
03/12/2017,598,16,7.6,77,399,0,0,Winter,No Holiday,Yes
03/12/2017,545,17,6.7,82,358,0,0,Winter,No Holiday,Yes
03/12/2017,443,18,6,84,327,0,0,Winter,No Holiday,Yes
03/12/2017,422,19,5.7,85,309,0,0,Winter,No Holiday,Yes
03/12/2017,397,20,5.2,87,253,0,0,Winter,No Holiday,Yes
03/12/2017,385,21,4.7,87,247,0,0,Winter,No Holiday,Yes
03/12/2017,350,22,4.3,89,201,0,0,Winter,No Holiday,Yes
03/12/2017,303,23,3.9,90,194,0,0,Winter,No Holiday,Yes
04/12/2017,285,0,4.2,88,216,0,0,Winter,No Holiday,Yes
04/12/2017,186,1,4.3,87,221,0,0,Winter,No Holiday,Yes
04/12/2017,112,2,4.4,87,207,0,0,Winter,No Holiday,Yes
04/12/2017,65,3,3.6,85,206,0,0,Winter,No Holiday,Yes
04/12/2017,41,4,2.8,89,130,0,0,Winter,No Holiday,Yes
04/12/2017,82,5,2,83,253,0,0,Winter,No Holiday,Yes
04/12/2017,200,6,1.2,76,371,0.1,0,Winter,No Holiday,Yes
04/12/2017,498,7,0.2,68,702,0,0,Winter,No Holiday,Yes
04/12/2017,937,8,-0.8,69,954,0,0,Winter,No Holiday,Yes
04/12/2017,509,9,-1.5,47,1888,0,0,Winter,No Holiday,Yes
04/12/2017,311,10,-1.1,40,2000,0,0,Winter,No Holiday,Yes
